unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
27.701;0.031;0.126;0.012;0.013;0.001;0.000;0.000;0.000;0.000;0.000;0.414;0.363;0.145;0.238;0.000;0.000;0.001;0.001;0.023;0.026;0.015;0.002;0.226;0.000;0.000;0.005;0.000;natural;2
27.729;0.035;0.121;0.011;0.011;0.005;0.000;0.000;0.000;0.000;0.000;0.415;0.370;0.135;0.228;0.000;0.000;0.001;0.001;0.016;0.017;0.007;0.001;0.294;0.000;0.000;0.003;0.000;natural;2
27.756;0.028;0.129;0.011;0.011;0.002;0.000;0.000;0.000;0.000;0.000;0.411;0.355;0.124;0.217;0.000;0.000;0.001;0.000;0.012;0.012;0.003;0.001;0.279;0.000;0.000;0.002;0.000;natural;2
27.783;0.034;0.131;0.018;0.017;0.005;0.000;0.000;0.000;0.000;0.000;0.415;0.366;0.121;0.214;0.000;0.000;0.001;0.000;0.023;0.013;0.003;0.000;0.241;0.000;0.000;0.006;0.000;natural;2
27.811;0.025;0.140;0.022;0.020;0.002;0.000;0.000;0.000;0.000;0.000;0.411;0.347;0.040;0.134;0.000;0.000;0.001;0.000;0.021;0.009;0.003;0.000;0.215;0.000;0.000;0.008;0.000;natural;2
27.852;0.013;0.173;0.016;0.015;0.001;0.000;0.000;0.000;0.000;0.000;0.405;0.300;0.040;0.133;0.000;0.000;0.000;0.000;0.015;0.007;0.003;0.000;0.165;0.000;0.000;0.004;0.000;natural;2
27.893;0.007;0.167;0.021;0.020;0.001;0.000;0.000;0.000;0.000;0.000;0.382;0.261;0.040;0.133;0.000;0.000;0.000;0.000;0.018;0.013;0.003;0.000;0.113;0.000;0.000;0.007;0.000;natural;2
27.922;0.004;0.123;0.024;0.023;0.005;0.000;0.000;0.000;0.000;0.000;0.333;0.232;0.045;0.137;0.000;0.000;0.000;0.000;0.020;0.017;0.003;0.000;0.105;0.000;0.000;0.009;0.000;natural;2
27.950;0.001;0.162;0.025;0.024;0.003;0.000;0.000;0.000;0.000;0.000;0.319;0.176;0.039;0.131;0.000;0.000;0.000;0.000;0.014;0.012;0.001;0.000;0.104;0.000;0.000;0.010;0.000;natural;2
27.979;0.000;0.164;0.026;0.025;0.001;0.000;0.000;0.000;0.000;0.000;0.286;0.134;0.039;0.130;0.000;0.000;0.000;0.000;0.043;0.033;0.002;0.000;0.095;0.000;0.000;0.005;0.000;natural;2
